Starmann Alexander            Sonnenschutzanlagen                                                                       0000Galgenbichlweg 20             A 9020  Klagenfurt                    001207
Maschinenfabrik Stingl        Gesellschaft m.b.H.                                                                       0000Hollersberg 26                A 9334  Guttaring                     001209
Stoiser u. Wolschner          Betonwerk u. Baustoffe,       Klagenfurt                                                  0000Bahnstra·e 93                 A 9020  Klagenfurt                    001211
Sto Ges.m.b.H.                                                                                                          0000Richtstra·e 47                A 9500  Villach                       001213
Ing. Strauss Hermann          Tischlermeister                                                                           0000Moosburger Stra·e 34          A 9201  Krumpendorf                   001218
Strauss Josef                 Maschinen-Werkzeuge-BeschlÑge                                                             0000Bahnhofstra·e 17              A 9500  Villach                       001220
KunstmÅhlen Otto Glanzer      Gesellschaft m.b.H.                                                                       0000                              A 9800  Spittal/Drau                  001316
Theodor Strein Sîhne.                                                                                                   0000Litzelhofenstra·e 2-4         A 9500  Villach                       001222
Sturmer G.                    Baubedarf                                                                                 0000Rosentalerstra·e 46           A 9020  Klagenfurt                    001225
Dkfm. Franz Hafner            Wirtschaftstreuhandgesell-    schaft m.b.H., nunmehr KG                                   0000Paradeiser Gasse 10           A 9020  Klagenfurt                    001337
Hasse Baugesellschaft mbH                                                                                               0000Rot Kreuz Platz 1             A 9100  Vîlkermarkt                   001339
J. Hasslacher                                                                                                           0000Feistritz 7                   A 9751  Sachsenburg                   001342
BrÅder Schlick                Gesellschaft m.b.H.                                                                       0000Ferdinand Wedenig Stra·e 3    A 9500  Villach                       001292
Schmidt Kurt                  Wassertechnik                                                                             0000Henselstra·e 9                A 9020  Klagenfurt                    001295
Franz Janschitz               Gesellschaft mbH                                                                          0000                              A 9330  Treibach                      001426
Strohschein Hildtraud         Hotel Wîrthersee                                                                          0000Villacher Stra·e 338          A 9020  Klagenfurt                    001431
Hraschan Handelsgesellschaft  m.b.H.                                                                                    0000Mîltschacherweg 46 a          A 9500  Villach                       001433
Schranz Hermann               Hotelausstattung                                                                          0000Anzengruberstrasse 37         A 9020  Klagenfurt                    001306
Schwarzenbacher               Malermeister                  Dispersion-Kunststoffputz                                   0000Hauptstra·e 1                 A 9545  Radenthein                    001312
Flexopack Verpackungen        Gesellschaft mbH                                                                          0000Bahnhofstra·e 5               A 4501  Neuhofen                      005943
Thomas Janesch' Erben                                                                                                   0000Feldmarschall Conrad Platz    A 9020  Klagenfurt                    001451
S. Jaritz                     Holzindustrie und Export OHG                                                              0000Rosentaler Stra·e 167         A 9020  Klagenfurt                    001455
Karl Gerhard u. Kurt          Gartencenter-Baumschule                                                                   0000Magdalener Stra·e 25          A 9500  Villach                       001469
KÑrntner Fleischverband                                                                                                 0000Manhartstra·e 26              A 9020  Klagenfurt                    001474
KÑrntner Legro                Lebensmittelgro·handel        Gesellschaft m.b.H.                                         0000Schrîdinger Stra·e 51         A 9020  Klagenfurt                    001482
Keller Max                    Eisenhof                                                                                  0012                              A 9900  Lienz                         001479
HELLA VERTRIEB                Gesellschaft mbH                                                                          0000                              A 9913  Abfaltersbach 125             001655
Dr. Hans Kraus                Gesellschaft m.b.H. & Co.KG..                                                             0000                              A 9210  Pîrtschach                    001661
Lamprecht Richard             Reifendienst                                                                              0000Gerbergasse 18                A 9500  Villach                       001676
Lassnig & Co                  Brennstoffhandel              Gesellschfat m.b.H.                                         0000                              A 9500  Villach                       001508
Lehnhoff Hartstahl KG         ErdbaugerÑte                                                                              0000Triglavstra·e 15              A 9500  Villach                       001686
Lindner Josef                 Santora-Kaffee                                                                            0000Dr. Franz Palla Gasse 4       A 9020  Klagenfurt                    001690
Maier & Sohn                  Installationstechnik          Gesellschaft m.b.H                                          0000Alois Huth Stra·e 2           A 9400  Wolfsberg                     001694
Marktgemeinde Arnoldstein                                                                                               0000                              A 9601  Arnoldstein 202               001700
Masser OHG                    chem. Reinigung                                                                           0000Italiener Stra·e 18-20        A 9500  Villach                       001708
Mayerbrugger Josef            Dachdeckerunternehmen                                                                     0000Edmund-Eysler-Gasse 10        A 9020  Klagenfurt                    001712
Mekaplast Warenhandels-       gesellschfat m.b.H.                                                                       0000Diexer Stra·e 4               A 9100  Vîlkermarkt                   001714
Franz Moser                   Gesellschaft m.b.H.                                                                       0000BÅnker Stra·e 44              A 9800  Spittal/Drau                  001735
Heribert MÅller               Gesellschaft m.b.H.                                                                       0000Badstrasse 40                 A 9341  Stra·burg                     001732
Allgemeine Revisions- u.      Treuhand GesellschaftmbH                                                                  0000Dietrichsteinplatz            A 8011  Graz                          001743
BrÅder Assmann                GesellschaftmbH                                                                           0000Kernstockg. 6                 A 8430  Leibnitz                      001602
Auer Max                      Elektrotore                                                                               0000Weinitzenstra·e 55            A 8045  Graz                          001745
Altenburger Gesellschaft mbH                                                                                            0000Lacknergasse 3                A 8570  Voitsberg                     001752
Alpen Merkur                  Maurer Befestigungsmaterial   HandelsgesellschaftmbH                                      0000Triesterstra·e 2              A 8020  Graz                          001754
Ed. Ast & Co                  BaugesellschaftmbH                                                                        0000Burgring 16                   A 8010  Graz                          001755
Institut f. Umwelttechnik     Trinkwasser, Abwasser, Boden  Abfall                        Univ. Prof. Dr. H. Brantner   0000Maygasse 8                    A 8010  Graz                          001757
BÅttinghaus                   Inh. Fridold Hîller & Sîhne   Gesellschaft m.b.H.                                         0000Conrad v. Hîtzendorfstr. 103 aA 8010  Graz                          001779
P. u  H. Bauer KG             Reprografischer Betrieb                                                                   0000Neue Weltgasse 4              A 8010  Graz                          001815
Dyckerhoff Austria            Ausbauprodukte                Gesellschaft mbH                                            0000Andritzer Reichsstra·e 13     A 8045  Graz                          001848
Julius Stainer                Gesellschaft mbH                                                                          0000BrÑunlichgasse 13             A 2700  Wr.Neustadt                   004922
Ziller Autoreisen             Autobusunternehmen-Taxi       Inh. Peter Bechter                                          0000Neuhofen 134                  A 8983  Bad Mitterndorf               001863
Bucher Karl Spenglerei        Installation-Heizung                                                                      0000Ra·nitz 21                    A 8720  Knittelfeld                   001865
Brandl Anton                  Baumaschinenverleih,Handel mitWaren aller Art, Reifenhandel Service                       0000                              A 8740  Zeltweg                       001866
Seiler Maria                  Strickwaren                                                                               0000Kaiserstra·e 30               A 1070  Wien                          005625
Biosaxon                      Salz GesellschaftmbH                                                                      0000                              A 8990  Bad Aussee                    002042
"ukra - trans"                Transport Ges.m.b.H.                                                                      0000Gu·riegelstra·e 51-59         A 1100  Wien                          000436
Brunner Josef                 Dachdeckermeister                                                                         0000Blumentalstra·e 43            A 7503  Gro·petersdorf                000440
Baumgartner & Grienschgl                                                                                                0000Elisabethstra·e 40            A 8010  Graz                          002051
Johann Buhl                   Bauunternehmung               Gesellschaft mbH                                            0000Schillerstra·e 163            A 3571  Gars am Kamp                  000457
Burda Raimund                 Weinbau-Weinhandel                                                                        0000Untere Hauptstra·e 154        A 7122  Gols                          000463
Weinkellerei Burgenland       Handelsgesellschaft mbH                                                                   0000                              A 7071  Rust a.Neusiedlersee          000464
BÅrototal W.Schnabl           Gesellschaft mbH                                                                          0000Landstra·e Hauptstra·e 163    A 1030  Wien                          000493
